Label,Count,Categories,ExampleProducts
"CPU",2,"Bundles","Fighter A62- Intel Core i5-12400F Tray - Aerocool Core plus ARGB Cooler - ASUS INTEL PRIME B760M-K D4 - ASUS Prime GeForce RTX 5050 8GB - PNY 16GB Performance DDR4 3200MHz (2X8) - PNY CS2230 500GB M.2 - XIGMATEK Blast ARGB CASE+X-Power 600W 80 Plus White; INTEL Ultra 5-225F TREY - Ocypus Gamma A40 Black ARGB CPU Cooler - ASUS INTEL PRIME H810M-K  - ASUS Dual Radeon RX 9060 XT 16GB GDDR6 - PNY 16GB DDR5 4800MHz (2*8) - PNY CS2230 500GB SSD M.2 - Ocypus Gamma C50 Black – PSU P650 ( 80+ white ) – 4 Fans ARGB"
"CPU Socket",2,"AMD CPU","AMD RYZEN 7-9700X (8C/16T), 3.8Ghz/5.5GHz, 32MB, 65W TDP, Socket AM5 LGA 1718, Tray+Fan; AMD RYZEN 7-9850X3D TRAY Processor"
"CPU Socket Compatibility",1,"AIR Cooler","ID-COOLING FROZN A620 GDL 6 Heatpipe Dual Tower With 2 120mm FDB Fan"
"CPU Support",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"CUDA Cores",2,"Nvidia GeForce","MSI RTX 3050 VENTUS 2X XS 8G OC; MSI RTX 5070 12G SHADOW 2X OC"
"Dimensions (H x W x D)",1,"Mid Tower","Aerocool P500D 3Fans ARGB Black + Aerocool LUX 650W – 80Plus Bronze"
"DIMM Slots",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"DirectX",2,"Nvidia GeForce","MSI RTX 3050 VENTUS 2X XS 8G OC; MSI RTX 5070 12G SHADOW 2X OC"
"DisplayPort",2,"Nvidia GeForce","MSI RTX 3050 VENTUS 2X XS 8G OC; MSI RTX 5070 12G SHADOW 2X OC"
"Dust Filters",1,"Mini Tower","ANTEC FLUX M 6FAN ARGB MINI TOWER"
"Energy-Efficient",2,"Non modular","SEASONIC Core GC-850 ATX3 850W Atx 3.1 80 Plus Gold Braidad Cables Hydro Dynamic Bearing Fan; Seasonic Core BC-850 ATX3 850W Atx 3.1 80 Plus Bronze braided cables Hydro Dynamic Bearing Fan Power Supply"
"Ethernet LAN Port",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"Expansion Slots",2,"Mid Tower; Mini Tower","ANTEC FLUX M 6FAN ARGB MINI TOWER; Aerocool P500D 3Fans ARGB Black + Aerocool LUX 650W – 80Plus Bronze"
"Fan Bearing Type",1,"AIR Cooler","ID-COOLING FROZN A620 GDL 6 Heatpipe Dual Tower With 2 120mm FDB Fan"
"FAN DIMENSION",1,"Fans","XIGMATEK Aero DGT 360 Digital LCD 3 Fan ARGB and PWM Infinity Ring Four Side 360mm Standard Fan Blade-EN90212"
"Fan Dimensions",1,"AIR Cooler","ID-COOLING FROZN A620 GDL 6 Heatpipe Dual Tower With 2 120mm FDB Fan"
"Fan Headers",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"Fan Options",2,"Mid Tower; Mini Tower","ANTEC FLUX M 6FAN ARGB MINI TOWER; Aerocool P500D 3Fans ARGB Black + Aerocool LUX 650W – 80Plus Bronze"
"Fan Size",1,"AIR Cooler","ID-COOLING FROZN A620 GDL 6 Heatpipe Dual Tower With 2 120mm FDB Fan"
"FAN SPEED",1,"Fans","XIGMATEK Aero DGT 360 Digital LCD 3 Fan ARGB and PWM Infinity Ring Four Side 360mm Standard Fan Blade-EN90212"
"Fans",3,"AIR Cooler; Non modular","ID-COOLING FROZN A620 GDL 6 Heatpipe Dual Tower With 2 120mm FDB Fan; SEASONIC Core GC-850 ATX3 850W Atx 3.1 80 Plus Gold Braidad Cables Hydro Dynamic Bearing Fan; Seasonic Core BC-850 ATX3 850W Atx 3.1 80 Plus Bronze braided cables Hydro Dynamic Bearing Fan Power Supply"
"Features",6,"Mid Tower; Mini Tower; Nvidia GeForce; PC Memory","ANTEC FLUX M 6FAN ARGB MINI TOWER; Aerocool P500D 3Fans ARGB Black + Aerocool LUX 650W – 80Plus Bronze; CORSAIR Vengeance 16GB LPX 3200Hz CL16-20-20-38 (CMK16GX4M1E3200C16); KLEVV Bolt V 32GB (2x16GB) DDR5 6400MHz CL32 - White (KD5AGUA80-64A320I); MSI RTX 3050 VENTUS 2X XS 8G OC; MSI RTX 5070 12G SHADOW 2X OC"
"Flash BIOS Buttons",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"Form Factor",1,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0"
"Front Ports",2,"Mid Tower; Mini Tower","ANTEC FLUX M 6FAN ARGB MINI TOWER; Aerocool P500D 3Fans ARGB Black + Aerocool LUX 650W – 80Plus Bronze"
"Front Type C Headers",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"Front USB 3 Headers",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"GPU",4,"Bundles; Nvidia GeForce","Fighter A62- Intel Core i5-12400F Tray - Aerocool Core plus ARGB Cooler - ASUS INTEL PRIME B760M-K D4 - ASUS Prime GeForce RTX 5050 8GB - PNY 16GB Performance DDR4 3200MHz (2X8) - PNY CS2230 500GB M.2 - XIGMATEK Blast ARGB CASE+X-Power 600W 80 Plus White; INTEL Ultra 5-225F TREY - Ocypus Gamma A40 Black ARGB CPU Cooler - ASUS INTEL PRIME H810M-K  - ASUS Dual Radeon RX 9060 XT 16GB GDDR6 - PNY 16GB DDR5 4800MHz (2*8) - PNY CS2230 500GB SSD M.2 - Ocypus Gamma C50 Black – PSU P650 ( 80+ white ) – 4 Fans ARGB; MSI RTX 3050 VENTUS 2X XS 8G OC; MSI RTX 5070 12G SHADOW 2X OC"
"Graphics Base Frequency",2,"AMD CPU","AMD RYZEN 7-9700X (8C/16T), 3.8Ghz/5.5GHz, 32MB, 65W TDP, Socket AM5 LGA 1718, Tray+Fan; AMD RYZEN 7-9850X3D TRAY Processor"
"HDMI",2,"Nvidia GeForce","MSI RTX 3050 VENTUS 2X XS 8G OC; MSI RTX 5070 12G SHADOW 2X OC"
"Heatpipes",1,"AIR Cooler","ID-COOLING FROZN A620 GDL 6 Heatpipe Dual Tower With 2 120mm FDB Fan"
