Label,Count,Categories,ExampleProducts
"Slot Width",1,"Nvidia GeForce","MSI RTX 5070 12G SHADOW 2X OC"
"Speed",2,"PC Memory","CORSAIR Vengeance 16GB LPX 3200Hz CL16-20-20-38 (CMK16GX4M1E3200C16); KLEVV Bolt V 32GB (2x16GB) DDR5 6400MHz CL32 - White (KD5AGUA80-64A320I)"
"SSD",2,"Bundles","Fighter A62- Intel Core i5-12400F Tray - Aerocool Core plus ARGB Cooler - ASUS INTEL PRIME B760M-K D4 - ASUS Prime GeForce RTX 5050 8GB - PNY 16GB Performance DDR4 3200MHz (2X8) - PNY CS2230 500GB M.2 - XIGMATEK Blast ARGB CASE+X-Power 600W 80 Plus White; INTEL Ultra 5-225F TREY - Ocypus Gamma A40 Black ARGB CPU Cooler - ASUS INTEL PRIME H810M-K  - ASUS Dual Radeon RX 9060 XT 16GB GDDR6 - PNY 16GB DDR5 4800MHz (2*8) - PNY CS2230 500GB SSD M.2 - Ocypus Gamma C50 Black – PSU P650 ( 80+ white ) – 4 Fans ARGB"
"TDP",2,"AMD CPU","AMD RYZEN 7-9700X (8C/16T), 3.8Ghz/5.5GHz, 32MB, 65W TDP, Socket AM5 LGA 1718, Tray+Fan; AMD RYZEN 7-9850X3D TRAY Processor"
"Thermal Solution (PIB)",1,"AMD CPU","AMD RYZEN 7-9700X (8C/16T), 3.8Ghz/5.5GHz, 32MB, 65W TDP, Socket AM5 LGA 1718, Tray+Fan"
"Timing",2,"PC Memory","CORSAIR Vengeance 16GB LPX 3200Hz CL16-20-20-38 (CMK16GX4M1E3200C16); KLEVV Bolt V 32GB (2x16GB) DDR5 6400MHz CL32 - White (KD5AGUA80-64A320I)"
"Total Cores",2,"AMD CPU","AMD RYZEN 7-9700X (8C/16T), 3.8Ghz/5.5GHz, 32MB, 65W TDP, Socket AM5 LGA 1718, Tray+Fan; AMD RYZEN 7-9850X3D TRAY Processor"
"Total Threads",2,"AMD CPU","AMD RYZEN 7-9700X (8C/16T), 3.8Ghz/5.5GHz, 32MB, 65W TDP, Socket AM5 LGA 1718, Tray+Fan; AMD RYZEN 7-9850X3D TRAY Processor"
"Type",6,"AIR Cooler; Mid Tower; Non modular; PC Memory","Aerocool P500D 3Fans ARGB Black + Aerocool LUX 650W – 80Plus Bronze; CORSAIR Vengeance 16GB LPX 3200Hz CL16-20-20-38 (CMK16GX4M1E3200C16); ID-COOLING FROZN A620 GDL 6 Heatpipe Dual Tower With 2 120mm FDB Fan; KLEVV Bolt V 32GB (2x16GB) DDR5 6400MHz CL32 - White (KD5AGUA80-64A320I); SEASONIC Core GC-850 ATX3 850W Atx 3.1 80 Plus Gold Braidad Cables Hydro Dynamic Bearing Fan; Seasonic Core BC-850 ATX3 850W Atx 3.1 80 Plus Bronze braided cables Hydro Dynamic Bearing Fan Power Supply"
"Unlocked for Overclocking",2,"AMD CPU","AMD RYZEN 7-9700X (8C/16T), 3.8Ghz/5.5GHz, 32MB, 65W TDP, Socket AM5 LGA 1718, Tray+Fan; AMD RYZEN 7-9850X3D TRAY Processor"
"USB 2.0 Headers",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"USB Ports",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"USB Type C Ports",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"Voltage",2,"PC Memory","CORSAIR Vengeance 16GB LPX 3200Hz CL16-20-20-38 (CMK16GX4M1E3200C16); KLEVV Bolt V 32GB (2x16GB) DDR5 6400MHz CL32 - White (KD5AGUA80-64A320I)"
